# PDFs do proton: xf(x,Q^2), HERAPDF2.0 LO (parametrizacao de gluon alternativa)
# H1 and ZEUS Collaborations, Eur. Phys. J. C 75 (2015) 580, arXiv:1506.06042
# fonte: https://www.desy.de/h1zeus/herapdf20/grids_151021_lhapdf/HERAPDF20_LO_EIG.tgz
# extraido do membro central (0000) por interpolacao bilinear em (ln x, ln Q)
# Q2[GeV^2]  x  xu_v  xd_v  xubar  xdbar  xs  xc  xb  xg
10.0 4.208865e-03 1.226870e-01 5.408305e-02 4.204945e-01 4.091873e-01 3.163766e-01 1.219018e-01 0.000000e+00 8.523964e+00
10.0 4.433912e-03 1.261298e-01 5.602077e-02 4.149265e-01 4.031937e-01 3.115288e-01 1.194701e-01 0.000000e+00 8.345858e+00
10.0 4.670993e-03 1.297060e-01 5.805805e-02 4.094417e-01 3.972607e-01 3.067356e-01 1.170804e-01 0.000000e+00 8.171945e+00
10.0 4.920750e-03 1.332822e-01 6.009532e-02 4.039568e-01 3.913277e-01 3.019423e-01 1.146906e-01 0.000000e+00 7.998033e+00
10.0 5.183862e-03 1.370186e-01 6.225564e-02 3.985622e-01 3.854572e-01 2.972062e-01 1.123468e-01 0.000000e+00 7.828732e+00
10.0 5.461042e-03 1.408499e-01 6.448896e-02 3.932212e-01 3.796238e-01 2.925039e-01 1.100302e-01 0.000000e+00 7.662166e+00
10.0 5.753043e-03 1.446812e-01 6.672228e-02 3.878801e-01 3.737904e-01 2.878017e-01 1.077137e-01 0.000000e+00 7.495600e+00
10.0 6.060658e-03 1.487265e-01 6.912508e-02 3.826482e-01 3.680283e-01 2.831658e-01 1.054534e-01 0.000000e+00 7.334703e+00
10.0 6.384720e-03 1.528240e-01 7.156921e-02 3.774428e-01 3.622835e-01 2.785460e-01 1.032068e-01 0.000000e+00 7.175187e+00
10.0 6.726110e-03 1.569215e-01 7.401333e-02 3.722375e-01 3.565387e-01 2.739262e-01 1.009602e-01 0.000000e+00 7.015672e+00
10.0 7.085755e-03 1.612896e-01 7.667895e-02 3.671572e-01 3.508699e-01 2.693791e-01 9.877921e-02 0.000000e+00 6.862782e+00
10.0 7.464629e-03 1.656632e-01 7.934901e-02 3.620794e-01 3.452026e-01 2.648334e-01 9.659949e-02 0.000000e+00 6.710024e+00
10.0 7.863761e-03 1.700813e-01 8.205677e-02 3.570203e-01 3.395458e-01 2.602979e-01 9.442979e-02 0.000000e+00 6.558281e+00
10.0 8.284236e-03 1.747394e-01 8.496738e-02 3.520615e-01 3.339450e-01 2.558179e-01 9.231404e-02 0.000000e+00 6.411990e+00
10.0 8.727192e-03 1.793975e-01 8.787800e-02 3.471028e-01 3.283442e-01 2.513378e-01 9.019829e-02 0.000000e+00 6.265700e+00
10.0 9.193834e-03 1.841475e-01 9.086879e-02 3.421754e-01 3.227573e-01 2.468722e-01 8.809803e-02 0.000000e+00 6.121054e+00
10.0 9.685427e-03 1.890815e-01 9.402011e-02 3.373106e-01 3.171984e-01 2.424355e-01 8.602880e-02 0.000000e+00 5.979701e+00
10.0 1.020331e-02 1.940155e-01 9.717143e-02 3.324459e-01 3.116394e-01 2.379988e-01 8.395957e-02 0.000000e+00 5.838348e+00
10.0 1.074887e-02 1.990699e-01 1.004312e-01 3.276290e-01 3.061057e-01 2.335890e-01 8.192075e-02 0.000000e+00 5.699922e+00
10.0 1.132362e-02 2.042546e-01 1.038088e-01 3.228631e-01 3.005981e-01 2.292073e-01 7.991401e-02 0.000000e+00 5.564594e+00
10.0 1.192909e-02 2.095729e-01 1.073097e-01 3.181406e-01 2.951084e-01 2.248462e-01 7.793332e-02 0.000000e+00 5.431855e+00
10.0 1.256693e-02 2.149927e-01 1.109059e-01 3.134492e-01 2.896305e-01 2.204994e-01 7.597206e-02 0.000000e+00 5.301032e+00
10.0 1.323889e-02 2.204995e-01 1.145845e-01 3.087839e-01 2.841621e-01 2.161643e-01 7.402732e-02 0.000000e+00 5.171831e+00
10.0 1.394677e-02 2.261134e-01 1.183656e-01 3.041498e-01 2.787044e-01 2.118431e-01 7.210279e-02 0.000000e+00 5.044603e+00
10.0 1.469250e-02 2.318537e-01 1.222699e-01 2.995503e-01 2.732575e-01 2.075370e-01 7.020193e-02 0.000000e+00 4.919656e+00
10.0 1.547810e-02 2.376797e-01 1.262587e-01 2.949732e-01 2.678168e-01 2.032403e-01 6.831703e-02 0.000000e+00 4.796230e+00
10.0 1.630572e-02 2.435909e-01 1.303321e-01 2.904180e-01 2.623821e-01 1.989528e-01 6.644801e-02 0.000000e+00 4.674313e+00
10.0 1.717758e-02 2.496396e-01 1.345443e-01 2.858960e-01 2.569552e-01 1.946790e-01 6.460469e-02 0.000000e+00 4.554793e+00
10.0 1.809606e-02 2.557764e-01 1.388467e-01 2.813936e-01 2.515321e-01 1.904133e-01 6.277794e-02 0.000000e+00 4.436788e+00
10.0 1.906366e-02 2.619952e-01 1.432336e-01 2.769090e-01 2.461123e-01 1.861549e-01 6.096670e-02 0.000000e+00 4.320187e+00
10.0 2.008299e-02 2.683217e-01 1.477325e-01 2.724465e-01 2.406961e-01 1.819056e-01 5.917608e-02 0.000000e+00 4.205425e+00
10.0 2.115682e-02 2.747553e-01 1.523443e-01 2.680040e-01 2.352822e-01 1.776649e-01 5.740642e-02 0.000000e+00 4.092481e+00
10.0 2.228808e-02 2.812655e-01 1.570374e-01 2.635748e-01 2.298696e-01 1.734301e-01 5.565207e-02 0.000000e+00 3.980838e+00
10.0 2.347982e-02 2.878541e-01 1.618141e-01 2.591585e-01 2.244580e-01 1.692012e-01 5.391357e-02 0.000000e+00 3.870527e+00
10.0 2.473528e-02 2.945640e-01 1.667206e-01 2.547595e-01 2.190471e-01 1.649813e-01 5.220056e-02 0.000000e+00 3.762284e+00
10.0 2.605787e-02 3.013433e-01 1.717014e-01 2.503687e-01 2.136364e-01 1.607666e-01 5.050291e-02 0.000000e+00 3.655239e+00
10.0 2.745118e-02 3.081910e-01 1.767553e-01 2.459854e-01 2.082258e-01 1.565570e-01 4.882065e-02 0.000000e+00 3.549380e+00
10.0 2.891899e-02 3.151329e-01 1.819094e-01 2.416103e-01 2.028151e-01 1.523548e-01 4.716056e-02 0.000000e+00 3.445172e+00
10.0 3.046528e-02 3.221526e-01 1.871444e-01 2.372393e-01 1.974044e-01 1.481592e-01 4.552022e-02 0.000000e+00 3.342370e+00
10.0 3.209426e-02 3.292314e-01 1.924395e-01 2.328701e-01 1.919941e-01 1.439691e-01 4.389563e-02 0.000000e+00 3.240652e+00
10.0 3.381033e-02 3.363750e-01 1.977993e-01 2.285016e-01 1.865844e-01 1.397854e-01 4.228899e-02 0.000000e+00 3.140145e+00
10.0 3.561817e-02 3.436008e-01 2.032355e-01 2.241299e-01 1.811765e-01 1.356115e-01 4.070757e-02 0.000000e+00 3.041244e+00
10.0 3.752267e-02 3.508749e-01 2.087120e-01 2.197537e-01 1.757707e-01 1.314444e-01 3.914253e-02 0.000000e+00 2.943334e+00
10.0 3.952900e-02 3.581958e-01 2.142256e-01 2.153722e-01 1.703674e-01 1.272845e-01 3.759401e-02 0.000000e+00 2.846406e+00
10.0 4.164261e-02 3.655820e-01 2.197813e-01 2.109787e-01 1.649699e-01 1.231372e-01 3.607137e-02 0.000000e+00 2.750938e+00
10.0 4.386923e-02 3.730118e-01 2.253536e-01 2.065728e-01 1.595788e-01 1.190012e-01 3.456895e-02 0.000000e+00 2.656540e+00
10.0 4.621491e-02 3.804765e-01 2.309329e-01 2.021547e-01 1.541944e-01 1.148756e-01 3.308415e-02 0.000000e+00 2.563045e+00
10.0 4.868602e-02 3.879809e-01 2.365107e-01 1.977196e-01 1.488199e-01 1.107641e-01 3.162149e-02 0.000000e+00 2.470649e+00
10.0 5.128925e-02 3.955247e-01 2.420614e-01 1.932599e-01 1.434611e-01 1.066725e-01 3.018606e-02 0.000000e+00 2.379520e+00
10.0 5.403168e-02 4.030912e-01 2.475783e-01 1.887811e-01 1.381158e-01 1.025964e-01 2.876979e-02 0.000000e+00 2.289242e+00
10.0 5.692075e-02 4.106788e-01 2.530554e-01 1.842823e-01 1.327849e-01 9.853649e-02 2.737290e-02 0.000000e+00 2.199811e+00
10.0 5.996429e-02 4.182931e-01 2.584333e-01 1.797461e-01 1.274837e-01 9.450783e-02 2.600900e-02 0.000000e+00 2.111745e+00
10.0 6.317057e-02 4.259188e-01 2.637201e-01 1.751826e-01 1.222066e-01 9.050310e-02 2.466756e-02 0.000000e+00 2.024566e+00
10.0 6.654829e-02 4.335531e-01 2.689113e-01 1.705925e-01 1.169542e-01 8.652224e-02 2.334760e-02 0.000000e+00 1.938221e+00
10.0 7.010662e-02 4.411943e-01 2.739512e-01 1.659646e-01 1.117391e-01 8.257657e-02 2.205721e-02 0.000000e+00 1.852995e+00
